价位,套餐名称,方法,菜品组合,菜品数量,总价格/元,热量/kcal,碳水/g,蛋白质/g,脂肪/g,膳食纤维/g,偏好得分,预计利润/元,营养均衡得分,价格偏差/元,综合评分,是否放宽价格
20,20元丰富营养套餐,NSGA-II,葱油鸡、付皮包、千张结烧肉、青瓜付竹肉片、素烧鹅,5,20.007,1030.0,82.0,62.0,52.0,9.0,1.217054,7.002,0.8192,0.007,0.8572,否
20,20元丰富营养套餐,NSGA-II,葱油鸡、家常豆腐、付皮包、花椒排骨、虎皮蛋烧肉,5,19.983,1136.0,56.3,82.2,66.1,4.6,1.407511,6.994,0.6804,0.017,0.8329,否
20,20元丰富营养套餐,NSGA-II,葱油鸡、付皮包、千张结烧肉、酱鸭、青椒藕片,5,20.016,1040.0,65.0,65.0,58.2,7.0,1.260521,7.006,0.752,0.016,0.8297,否
20,20元丰富营养套餐,NSGA-II,葱油鸡、家常豆腐、付皮包、千张结烧肉、酱鸭,5,20.066,1083.0,54.3,75.2,64.1,4.6,1.440797,7.023,0.6931,0.066,0.8245,否
20,20元丰富营养套餐,NSGA-II,葱油鸡、家常豆腐、付皮包、千张结烧肉、青瓜付竹肉片,5,19.912,996.0,66.3,69.2,52.1,7.6,1.405944,6.969,0.7748,0.088,0.8244,否
20,20元丰富营养套餐,NSGA-II,葱油鸡、付皮包、千张结烧肉、卤鸭、素烧鹅,5,19.988,1090.0,70.0,70.0,61.0,6.0,1.240587,6.996,0.7455,0.012,0.8201,否
20,20元丰富营养套餐,NSGA-II,葱油鸡、付皮包、油麦菜、卤鸭、红烧肉,5,20.006,955.0,47.101,61.4,57.4,3.2,1.228764,7.002,0.6981,0.006,0.7983,否
20,20元丰富营养套餐,NSGA-II,葱油鸡、家常豆腐、付皮包、花椒排骨、青瓜付竹肉片,5,20.122,1066.0,61.3,79.2,56.1,6.6,1.390939,7.043,0.7287,0.122,0.7948,否
20,20元丰富营养套餐,NSGA-II,葱油鸡、家常豆腐、付皮包、虎皮蛋烧肉、红烧肉,5,20.11,1066.0,56.3,67.2,64.1,3.6,1.360751,7.039,0.7079,0.11,0.7819,否
20,20元丰富营养套餐,NSGA-II,葱油鸡、付皮包、花椒排骨、虎皮蛋烧肉、白菜千张丝,5,20.033,1140.0,62.0,78.0,65.0,7.0,1.212607,7.011,0.7,0.033,0.7785,否
20,20元丰富营养套餐,NSGA-II,葱油鸡、家常豆腐、付皮包、千张结烧肉、卤鸭,5,19.893,1056.0,54.3,77.2,61.1,4.6,1.429477,6.963,0.7023,0.107,0.7784,否
20,20元丰富营养套餐,NSGA-II,葱油鸡、付皮包、虎皮蛋烧肉、红烧肉、雪菜素鸡/丝瓜毛豆子,5,19.999,1130.0,67.0,67.0,66.0,8.0,1.093469,7.0,0.7218,0.001,0.7724,否
20,20元丰富营养套餐,NSGA-II,葱油鸡、付皮包、千张结烧肉、青瓜付竹肉片、青椒藕片,5,19.863,953.0,77.0,59.0,46.2,10.0,1.225668,6.952,0.8415,0.137,0.7641,否
20,20元丰富营养套餐,NSGA-II,葱油鸡、付皮包、葱油芋头/红烧萝卜、千张结烧肉、红烧肉,5,20.167,1130.0,77.6,58.5,66.2,8.3,1.306253,7.059,0.7562,0.167,0.7569,否
20,20元丰富营养套餐,NSGA-II,葱油鸡、付皮包、千张结烧肉、虎皮蛋烧肉、茄子长江豆/素烧鹅,5,20.119,1130.0,77.0,66.0,66.0,10.0,1.18511,7.042,0.7486,0.119,0.7442,否
20,20元丰富营养套餐,NSGA-II,付皮包、酱鸭、虎皮蛋烧肉、青瓜付竹肉片、青椒藕片,5,20.042,1020.0,78.0,57.0,54.2,9.0,0.896701,7.015,0.8101,0.042,0.7343,否
20,20元丰富营养套餐,NSGA-II,葱油鸡、付皮包、千张结烧肉、酱鸭、素烧鹅,5,20.161,1117.0,70.0,68.0,64.0,6.0,1.251907,7.056,0.7356,0.161,0.7335,否
20,20元丰富营养套餐,NSGA-II,葱油鸡、家常豆腐、千张结烧肉、虎皮蛋烧肉、宫保鸡丁,5,20.138,982.0,34.3,74.2,63.1,4.6,1.345229,7.048,0.6521,0.138,0.7319,否
20,20元丰富营养套餐,NSGA-II,葱油鸡、家常豆腐、酱鸭、虎皮蛋烧肉、宫保鸡丁,5,20.061,999.0,27.3,77.2,65.1,2.6,1.317491,7.021,0.5707,0.061,0.7263,否
